File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,0,734.4405715178827,471.386257348025,0.0
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,1,735.5031460620044,471.60402160816164,1.0846593634907278
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,2,747.3269650878327,479.6158734314616,14.282593111688616
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,3,752.6481973924868,481.3881571472032,5.608609703765947
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,4,734.1534054219647,471.07671622634933,21.175059478007327
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,5,755.0233592668319,482.79257796149017,23.933582884387004
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,6,754.753360204278,483.79671916589166,1.039807218746273
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,7,744.6304061348914,483.25305519769194,10.13754258196879
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,8,749.8124870607337,501.1349626534975,18.617641552569797
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,9,761.0675318159011,521.2407083884505,23.041637181402738
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,10,755.8557363438413,532.923374863582,12.792478571869738
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,11,759.6362974509966,539.807988371186,7.854332908275423
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,12,751.2317381645317,546.3153261801706,10.629302054224613
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,13,757.8397175240758,551.3423815073961,8.302811359963977
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,14,741.1252247862511,553.0829595869317,16.80487665928417
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,15,733.0323520228568,555.3205205522028,8.396503357814762
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,16,745.1783841579328,555.3415695958124,12.146050374032514
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,17,745.542530724845,567.1621152344112,11.826153301745704
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,18,748.4317908724828,582.6377907370456,15.743073285212361
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,19,755.0550488864408,589.0054253934076,9.187726478098927
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,20,764.5283297981548,598.9586193400521,13.740783128037755
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,21,787.1175251248558,620.6644415439775,31.3275352215311
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,22,800.8788912388243,641.3118444559987,24.813110331718157
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,23,815.3222447758297,652.6830360031054,18.38244974414236
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,24,818.7491445412728,663.2524614964118,11.111093432284221
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,25,823.2207157547975,674.3202704233698,11.936973802487588
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,26,828.3593415217904,687.9782604465527,14.592675088775348
6027_SpontAlt-4mo_20231222.mp4,98.0,False,0.8,200.0,300.0,27,830.0282864624742,694.7014795650241,6.927268764095545
